timestamp,elapsed,locust_users,locust_requests_per_second,locust_response_time_avg,locust_failure_rate,cpu_usage_task1,cpu_usage_task2,task1_replicas,task2_replicas,throughput_task1-deployment,locust_response_time_p95,locust_response_time_p99,locust_total_requests,response_time_task1-svc,response_time_task2-svc,throughput_task2-deployment
1763313202.740041,1.1920928955078125e-06,1.0,2.0,41.50010817684233,0.0,0.026795541505139506,0.03434126835058825,1,1,0.0,110.0,110.0,5.0,0.039,0.06946516918704962,0.9666666666666667
1763313207.892215,5.152175188064575,1.0,1.2857142857142858,69.52611300429064,0.0,0.03257967554331866,0.04205715193803923,1,1,0.2,190.0,190.0,14.0,0.039,0.0693290603826995,0.9666666666666667
1763313213.022187,10.28214716911316,1.0,1.5,68.41106796147008,0.0,0.03837394533039649,0.035436033333333346,1,1,0.2,190.0,190.0,19.0,0.039,0.0685460927397007,0.9666666666666667
1763313218.1709151,15.430875301361084,1.0,1.4,86.21718748260967,0.0,0.03067753333333334,0.035436033333333346,1,1,0.2,210.0,260.0,22.0,0.039,0.07421320175464463,0.9666666666666667
1763313222.809916,20.069876194000244,1.0,0.6,79.51592628915722,0.0,0.0729697177719572,0.04897293602246508,1,1,0.2,210.0,260.0,26.0,0.039,0.07802153941176469,0.9666666666666667
1763313227.940925,25.20088505744934,1.0,0.5,77.54894494844068,0.0,0.08131919131982039,0.04108500000000001,1,1,0.2,210.0,260.0,28.0,0.08362241379309703,0.08004215686274509,0.9666666666666667
1763313233.0776262,30.337586402893066,1.0,0.8,79.1155061314759,0.0,0.09752159098146614,0.06073492381432425,1,1,0.9333644454815162,210.0,260.0,34.0,0.08362241379309703,0.10337194117647058,0.9
1763313238.2106,35.47056007385254,1.0,1.1,94.86134790931828,0.0,0.0768787082104643,0.06117868006869965,1,1,0.9333644454815162,320.0,320.0,40.0,0.08362241379309703,0.10344411764705881,0.9
1763313242.8637109,40.12367105484009,1.0,1.1,96.31841946710747,0.0,0.08861537994044122,0.05566325380788366,1,1,0.9333644454815162,260.0,320.0,44.0,0.08362241379309703,0.10344411764705881,0.9
1763313248.003554,45.263514280319214,1.0,0.7,94.96976505033672,0.0,0.09663416613043113,0.04144006097590953,1,1,0.9333644454815162,260.0,320.0,47.0,0.08362241379309703,0.12050526315789474,0.9
1763313253.138625,50.398585081100464,1.0,0.7,91.06899920042675,0.0,0.09663416613043113,0.06999612780507686,1,1,0.9333644454815162,260.0,320.0,53.0,0.08752610341074628,0.12050526315789474,0.9
1763313257.770981,55.03094124794006,1.0,1.0,94.37117981724441,0.0,0.07455607766613975,0.06999612780507686,1,1,0.9333644454815162,320.0,320.0,57.0,0.1095405660377429,0.12050526315789474,0.9
1763313262.9137359,60.17369604110718,1.0,0.7,98.74957102564636,0.0,0.11818343542100174,0.08758254774981557,1,1,0.9666666666666667,320.0,320.0,61.0,0.1095405660377429,0.11753870967741938,0.8666666666666668
1763313268.05082,65.31078028678894,1.0,1.0,99.78261424905874,0.0,0.11818343542100174,0.08758254774981557,1,1,0.9666666666666667,320.0,320.0,66.0,0.1095405660377429,0.11753870967741938,0.8666666666666667
1763313273.1987011,70.45866131782532,1.0,1.0,95.48918834336521,0.0,0.09282767178240674,0.09341448937704556,1,1,0.9666666666666667,320.0,320.0,71.0,0.1095405660377429,0.11753870967741938,0.8666666666666667
1763313277.829567,75.08952713012695,1.0,1.0,107.16962181562204,0.0,0.1165201107704208,0.09341448937704556,1,1,0.9666666666666667,320.0,500.0,79.0,0.1095405660377429,0.10426037735849056,0.8666666666666667
1763313282.9660108,80.22597098350525,1.0,1.3,105.73517832416678,0.0,0.10086124552612742,0.09343727279758683,1,1,0.9666666666666667,320.0,500.0,82.0,0.12450701754386619,0.10426037735849057,0.8666666666666667
1763313288.115044,85.37500429153442,1.0,0.8,102.19937497154311,0.0,0.10086124552612744,0.0988674979320487,1,1,0.9666666666666667,320.0,500.0,86.0,0.12450701754386619,0.10426037735849057,0.8666666666666667
1763313292.746644,90.00660419464111,1.0,0.6,99.79024998481489,0.0,0.09182519420618224,0.0988674979320487,1,1,0.9666666666666667,320.0,500.0,90.0,0.11647351309505845,0.09100480769230766,0.9666666666666667
1763313297.877928,95.1378881931305,1.0,0.9,100.27754166124699,0.0,0.05465598701610966,0.07523693008256489,1,1,0.9333022232592245,320.0,500.0,96.0,0.11647351309505845,0.09100480769230766,0.9666666666666667
1763313303.031986,100.29194617271423,1.0,0.9,99.25376374507323,0.0,0.045416392411036316,0.09529648497198161,1,1,0.9333022232592245,320.0,500.0,100.0,0.11647351309505845,0.09100480769230766,0.9666666666666667
1763313308.167121,105.42708110809326,1.0,0.9,98.7482273349882,0.0,0.04120150487897733,0.09529648497198161,1,1,0.9333022232592245,320.0,390.0,103.0,0.11647351309505845,0.08256694915254238,0.9666666666666667
1763313312.832701,110.09266114234924,1.0,0.6,99.9330487922721,0.0,0.09340974074629103,0.09359090412873079,1,1,0.9333022232592245,320.0,390.0,105.0,0.08824583653575059,0.08256694915254238,0.9666666666666667
1763313317.963397,115.22335720062256,1.0,0.6,97.88987424690276,0.0,0.09340974074629105,0.09359090412873076,1,1,0.9333022232592245,320.0,390.0,112.0,0.07936960784312268,0.08256694915254238,0.9666666666666667
1763313323.092198,120.3521580696106,1.0,1.0,98.77833937947503,0.0,0.07660260393526151,0.07808422994058083,1,1,0.8666666666666668,320.0,390.0,117.0,0.07936960784312268,0.07943750000000004,0.8
1763313328.2157729,125.4757330417633,1.0,1.3,98.68239328583202,0.0,0.06859738915330438,0.07005742253544685,1,1,0.8666666666666667,310.0,390.0,123.0,0.07936960784312268,0.07943750000000004,0.8000000000000002
1763313332.840001,130.09996128082275,1.0,1.1,98.39643219241961,0.0,0.0821175718015666,0.08239004424305896,1,1,0.8666666666666667,310.0,390.0,126.0,0.07936960784312268,0.07943750000000004,0.8
1763313337.971296,135.23125624656677,1.0,0.8,98.92711608549793,0.0,0.08211757180156659,0.07355664075933697,1,1,0.8666666666666667,310.0,390.0,131.0,0.07936960784312268,0.08041428571428574,0.8
1763313343.1128619,140.3728220462799,1.0,0.7,97.59446634842014,0.0,0.08772031866346974,0.06957385164155201,1,1,0.8666666666666667,310.0,390.0,135.0,0.09141120689653887,0.08041428571428574,0.8
1763313347.748676,145.0086362361908,1.0,0.9,96.13232854117217,0.0,0.07415095258384567,0.06957385164155201,1,1,0.8666666666666667,310.0,390.0,139.0,0.09040701754387272,0.08041428571428574,0.8
1763313352.8910458,150.15100598335266,1.0,0.7,96.54866724499854,0.0,0.07415095258384569,0.07643117146021923,1,1,0.9333333333333333,310.0,390.0,145.0,0.09040701754387272,0.0877933333333333,0.9
1763313358.040289,155.30024909973145,1.0,0.8,95.7743438247542,0.0,0.057912511892588336,0.0725150505859962,1,1,0.9333333333333333,310.0,390.0,151.0,0.09040701754387272,0.0877933333333333,0.9
